Gun,Fiyat
1,2.91810
2,2.94220
3,2.97500
4,3.00400
5,3.01670
6,2.98760
7,3.01880
8,3.03220
9,3.01380
10,3.02730
11,3.03620
12,3.03670
13,3.02430
14,3.04960
15,3.03870
16,3.01070
17,3.00970
18,3.02080
19,2.99780
20,2.97880
21,2.96090
22,2.96710
23,2.95240
24,2.94780
25,2.90440
26,2.90510
27,2.92950
28,2.94710
29,2.92390
30,2.92870
31,2.92280
32,2.94410
33,2.95170
34,2.96390
35,2.96060
36,2.96580
37,2.94490
38,2.93580
39,2.93860
40,2.92950
41,2.92930
42,2.96120
43,2.94510
44,2.93720
45,2.92150
46,2.91470
47,2.92010
48,2.92010
49,2.90810
50,2.88750
51,2.87340
52,2.87960
53,2.88520
54,2.90840
55,2.85580
56,2.85540
57,2.86950
58,2.87230
59,2.86930
60,2.87890
61,2.87050
62,2.87330
63,2.86950
64,2.83340
65,2.82490
66,2.81970
67,2.81890
68,2.82770
69,2.84120
70,2.84280
71,2.85690
72,2.83380
73,2.82700
74,2.84820
75,2.85910
76,2.85450
77,2.85190
78,2.83290
79,2.82760
80,2.82100
81,2.82870
82,2.84570
83,2.83450
84,2.81750
85,2.81500
86,2.80140
87,2.79280
88,2.80650
89,2.85900
90,2.92010
91,2.91970
92,2.92290
93,2.93800
94,2.96230
95,2.94890
96,2.95870
97,2.97110
98,2.96450
99,2.97770
100,2.97680
101,2.98260
102,2.98210
103,2.94260
104,2.93490
105,2.93990
106,2.95600
107,2.95150
108,2.94890
109,2.93930
110,2.94620
111,2.90800
112,2.89780
113,2.88940
114,2.89410
115,2.91000
116,2.92190
117,2.93040
118,2.92690
119,2.92960
120,2.93000
121,2.89840
122,2.89620
123,2.90550
124,2.87990
125,2.92660
126,2.93650
127,2.91300
128,2.89360
129,2.88480
130,2.88460
131,2.88460
132,2.92140
133,2.89810
134,2.88850
135,2.89470
136,2.89130
137,2.88340
138,2.94850
139,2.97660
140,3.02810
141,3.07270
142,3.05730
143,3.03170
144,3.03530
145,3.03770
146,3.01670
147,3.01250
148,2.97970
149,2.99260
150,3.00750
151,3.02130
152,2.99960
153,2.98460
154,2.97810
155,2.95530
156,2.96210
157,2.95580
158,2.95100
159,2.92970
160,2.93390
161,2.92300
162,2.93550
163,2.94440
164,2.93590
165,2.95330
166,2.93900
167,2.93370
168,2.95450
169,2.95440
170,2.95580
171,2.95860
172,2.94410
173,2.93890
174,2.92860
175,2.93440
176,2.95520
177,2.96780
178,2.97400
179,2.97410
180,2.97390
181,2.94680
182,2.94740
183,2.98460
184,2.97090
185,2.97640
186,2.99590
187,3.00040
188,3.00360
189,3.02930
190,3.05370
191,3.05060
192,3.05050
193,3.05850
194,3.08080
195,3.08050
196,3.09670
197,3.08660
198,3.09570
199,3.09280
200,3.07850
201,3.06750
202,3.07360
203,3.07240
204,3.07790
205,3.07760
206,3.09980
207,3.09980
208,3.10240
209,3.09810
210,3.11170
211,3.11250
212,3.13480
213,3.15320
214,3.17360
215,3.18650
216,3.20480
217,3.25880
218,3.27870
219,3.27130
220,3.30550
221,3.31050
222,3.38350
223,3.37430
224,3.35840
225,3.38240
226,3.40470
227,3.44030
228,3.41800
229,3.41990
230,3.41740
231,3.44830
232,3.50670
233,3.53440
234,3.51020
235,3.43070
236,3.36690
237,3.45240
238,3.51720
239,3.47210
240,3.47860
241,3.51570
242,3.49400
243,3.49470
244,3.51160
245,3.51000
246,3.50550
247,3.50770
248,3.50410
249,3.51350
250,3.53290
251,3.53180
